Filename,Artist,Country/Entity,Keywords
CMB0727.tif,,Cambodia,fruit|wash|woman|work|buah|cuci|wanita|kerja
,,,
CMB0751.tif,,Cambodia,woman|bathe|hygiene|mandi|kesehatan|wanita
,,,
CMB0739.tif,,Cambodia,cow|animal|binatang|sapi
,,,
CMB0746.tif,,Cambodia,cow|sick|ill|health|dead|sapi|mati|kesehatan|sakit
,,,
CMB0765.tif,,Cambodia,animal|tiger|woman|binatang|harimau|wanita
,,,
CMB0753.tif,,Cambodia,woman|head|face|wajah|kepala|wanita
,,,
10A.tif,,Cameroon,dog|fire|grass|man|spear|weapon|work|people|anjing|api|rumput|manusia|orang|orang-orang|tombak|lembing|senjata |kerja
,,,
10AO.tif,Mbange Ernest Bawe,Cameroon,Bible|family|food|Hebrew|meal|Passover|people|keluarga|makanan|Paskah|orang|orang-orang|Alkitab
,,,
CMB0758.tif,,Cambodia,animal|climb|tiger|tree|woman|binatang|panjat|naik|harimau|pohon|wanita
,,,
10AL.tif,Mbange Ernest Bawe,Cameroon,Bible|building|city|crowd|gedung|group|kelompok|kota|orang|orang banyak/ramai|orang-orang|people|Alkitab
,,,
10AG.tif,Mbange Ernest Bawe,Cameroon,Alkitab|Bible|Jesus|Joseph|Majis|Maria (tokoh Alkitab)|Mary|Wise men|Yesus|Yusuf (tokoh Alkitab)|group|kelompok|magi|orang|orang majus|orang-orang|people
,,,
10C.tif,,Cameroon,boy|man|people|shirt|clothing|anak laki-laki|pakaian|manusia|orang|orang-orang|kemeja
,,,
10AT.tif,Mbange Ernest Bawe,Cameroon,Bible|candle|flame|light|lilin|nyala api|lampu|Alkitab
,,,
10EE.tif,Mbange Ernest Bawe,Cameroon,Bible|Jacob|Rebekah|tent|Yakub (tokoh Alkitab)|Ribka (tokoh Alkitab)|tenda|kemah|Alkitab
,,,
10FF.tif,Mbange Ernest Bawe,Cameroon,Bible|bow|Esau|man|people|weapon|panah|Esau (tokoh Alkitab)|manusia|orang|orang-orang|senjata |Alkitab
,,,
10Q.tif,Mbange Ernest Bawe,Cameroon,Bible|cross|crucifixion|Golgotha|group|Jesus|man|people|Roman soldier|spear|weapon|centurion|pewira|salib|penyaliban|Bukit Golgota|kelompok|Yesus|manusia|orang|orang-orang|serdadu Romawi|tombak|lembing|senjata |Alkitab
,,,
10O.tif,Mbange Ernest Bawe,Cameroon,Alkitab|Bible|Joseph|Yusuf (tokoh Alkitab)|angkat|bak air|cistern|lifting|orang|orang-orang|people|pit|pull|tangki air|tarik
,,,
10P.tif,Mbange Ernest Bawe,Cameroon,agriculture|Bible|field|path|plant|seed|sowing|trail|work|pertanian|ladang|kebun|jalan|tanaman|bibit|tabur|tanam|jalan kecil|kerja|Alkitab
,,,
10TT.tif,Mbange Ernest Bawe,Cameroon,angel|Bible|dream|Jacob|man|people|stairway|malaikat|mimpi|Yakub (tokoh Alkitab)|manusia|orang|orang-orang|tangga|Alkitab
,,,
10I.tif,Mbange Ernest Bawe,Cameroon,animal|Bible|man|people|pig|work|binatang|manusia|orang|orang-orang|babi|kerja|Alkitab
,,,
1B-C.tif,Jean-Marie Boayaga,Cameroon,chicken|rooster|ayam|ayam jantan
,,,
10W.tif,,Cameroon,book|buku
,,,
10LL.tif,Mbange Ernest Bawe,Cameroon,Bible|Jacob|Rebekah|man|woman|people|Yakub (tokoh Alkitab)|manusia|orang|orang-orang|Ribka (tokoh Alkitab)|wanita|Alkitab
,,,
1B-E.tif,Susan Rose,Cameroon,bird|crest|hoopoe|wing|burung |sayap
,,,
10ZZ.tif,Mbange Ernest Bawe,Cameroon,Bible|group|money|people|tax collector|taxes|kelompok|uang|orang|orang-orang|pemungut cukai|pajak|Alkitab
,,,
1B-K.tif,,Cameroon,chicken|ayam
,,,
1dd.tif,Susan Rose,Cameroon,animal|cow|horn|binatang|sapi|tanduk
,,,
1I-B.tif,Mbange Ernest Bawe,Cameroon,ant|bee|beetle|bugs|butterfly|fly|grasshopper|insects|semut|lebah|niri|kumbang|serangga|kupu-kupu|lalat|belalang
,,,
1CCC.tif,,Cameroon,animal|mouse|binatang|tikus
,,,
1B.tif,Susan Rose,Cameroon,animal|cat|lion|puma|mountain lion|binatang|kucing|singa|singa gunung
,,,
1I-G.tif,,Cameroon,ant|bugs|insects|semut|serangga
,,,
1HHH.tif,,Cameroon,animal|squirrel|binatang|bajing
,,,
1f-a.tif,Jean-Marie Boayaga,Cameroon,fish|water|ikan|air
,,,
1G.tif,Susan Rose,Cameroon,animal|cat|cheetah|binatang|kucing
,,,
1KK.tif,Mbange Ernest Bawe,Cameroon,animal|ape|gorilla|binatang|gorila
,,,
1R-A.tif,Jean-Marie Boayaga,Cameroon,lizard|reptile|kadal|reptil
,,,
1III.tif,,Cameroon,animal|antelope|horn|binatang|kijang|tanduk
,,,
1p.tif,Susan Rose,Cameroon,animal|zebra|binatang
,,,
1MMM.tif,,Cameroon,animal|antelope|gazelle|binatang|kijang
,,,
1OO.tif,Mbange Ernest Bawe,Cameroon,animal|leaf|monkey|tree|binatang|daun|kera|monyet|pohon
,,,
